Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
TMP,Tompkins Financial Corporation,52.15,769894517.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tmp
SFNC,Simmons First National Corporation,42.57,767197008.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfnc
AMSF,"AMERISAFE, Inc.",40.25,761537486.5,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
GFIG,GFI Group Inc.,5.83,742296156.6,n/a,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gfig
SRCE,1st Source Corporation,30.99,740045972.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
BRKL,"Brookline Bancorp, Inc.",9.68,733206227.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/brkl
DGICB,"Donegal Group, Inc.",27,727172964,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgicb
ABCB,Ameris Bancorp,25.4,715279189.2,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
CRVL,CorVel Corp.,34.9,711638954.9,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
NFBK,"Northfield Bancorp, Inc.",14.49,709733183,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/nfbk
WSFS,WSFS Financial Corporation,75.3,707719248.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wsfs
UFCS,"United Fire Group, Inc",28.26,706175094.8,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ufcs
LTS,Ladenburg Thalmann Financial Services Inc,3.81,706116497.3,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lts
CHCO,City Holding Company,45.67,692811251.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco
EBSB,"Meridian Bancorp, Inc.",12.45,681120725.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebsb
BHLB,"Berkshire Hills Bancorp, Inc.",26.53,668112524.5,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/bhlb
EFC,Ellington Financial LLC,19.85,663976108.3,n/a,2010,Finance,Real Estate,http://www.nasdaq.com/symbol/efc
STBZ,State Bank Financial Corporation.,20.49,661245166,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stbz
HAFC,Hanmi Financial Corporation,20.56,655946877.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hafc
LKFN,Lakeland Financial Corporation,39.22,649015462.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lkfn
SASR,"Sandy Spring Bancorp, Inc.",25.52,639043512.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sasr
TRST,TrustCo Bank Corp NY,6.7,635784560.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/trst
ORIT,Oritani Financial Corp.,14.35,633391349.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/orit
IBTX,"Independent Bank Group, Inc",36.96,632747549.3,n/a,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/ibtx
WLRH,WL Ross Holding Corp.,10,625312500,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/wlrh
XOOM,Xoom Corporation,16.09,622667585.8,n/a,2013,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/xoom
WASH,"Washington Trust Bancorp, Inc.",37.18,621844683.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wash
FNBC,First NBC Bank Holding Company,33.33,619107683,n/a,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/fnbc
CFNL,Cardinal Financial Corporation,19.31,618494993.9,n/a,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cfnl
CUBI,"Customers Bancorp, Inc",22.99,616298769.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubi
YDKN,Yadkin Financial Corporation,19.5,616178686.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ydkn
BLW,Citigroup Inc.,15.85,586428047.8,n/a,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/blw
COWN,"Cowen Group, Inc.",5.21,582143710.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown
